contrast	type	down	up
F2_vs_F0	baseline	7	28
F3_vs_F0	baseline	29	294
F3_vs_F1	between_strata	6	198
F3_vs_F2	between_strata	0	12
F4_vs_F0	baseline	169	703
F4_vs_F1	between_strata	99	641
F4_vs_F2	between_strata	43	404
F4_vs_F3	between_strata	2	27
