Ensembl_ID	Gene_symbol	contrast	type	dir	n_datasets	datasets	mean_log2FC	max_padj
ENSG00000182718	ANXA2	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	0.9822030471059933	0.0057546549617118244
ENSG00000182752	PAPPA	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.3751186400470314	0.0011387757568157137
ENSG00000182752	PAPPA	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.4617140741262817	5.013084096755226e-4
ENSG00000182752	PAPPA	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.3617331163812936	0.0018247197514949206
ENSG00000182795	C1orf116	F3_vs_F1	between_strata	up	2	GSE130970,GSE135251	1.1860361805777848	0.002991113644623912
ENSG00000182795	C1orf116	F4_vs_F1	between_strata	up	3	GSE130970,GSE135251,GSE162694	1.731768577019035	0.012749892429729572
ENSG00000182795	C1orf116	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.2702080560136193	0.008614191856504588
ENSG00000182809	CRIP2	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.9405457125401961	0.04551501419288488
ENSG00000182809	CRIP2	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.4729585538337124	0.027117240572240624
ENSG00000182836	PLCXD3	F3_vs_F0	baseline	up	2	GSE130970,GSE135251	1.1924196261993012	1.7292296004721636e-5
ENSG00000182836	PLCXD3	F3_vs_F1	between_strata	up	2	GSE130970,GSE135251	1.017623204487223	9.561470591972764e-5
ENSG00000182836	PLCXD3	F4_vs_F0	baseline	up	3	GSE130970,GSE135251,GSE162694	1.7621407158292315	0.001819978345003247
ENSG00000182836	PLCXD3	F4_vs_F1	between_strata	up	3	GSE130970,GSE135251,GSE162694	1.619478126781794	0.006381314821306475
ENSG00000182836	PLCXD3	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.4039001882639843	2.0323109792431218e-5
ENSG00000183114	FAM43B	F3_vs_F0	baseline	up	2	GSE130970,GSE135251	1.067283092546713	0.043699848806995525
ENSG00000183114	FAM43B	F3_vs_F1	between_strata	up	2	GSE130970,GSE135251	1.3045755104185999	0.00608038238265811
ENSG00000183114	FAM43B	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.2795651786214441	0.008756078762730822
ENSG00000183114	FAM43B	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.5464813553019243	0.0013065926086241197
ENSG00000183230	CTNNA3	F3_vs_F0	baseline	down	2	GSE130970,GSE135251	-0.6990778963408224	0.035359164104849135
ENSG00000183230	CTNNA3	F4_vs_F0	baseline	down	3	GSE130970,GSE135251,GSE162694	-1.828586398997733	0.0061148019288812016
ENSG00000183230	CTNNA3	F4_vs_F1	between_strata	down	3	GSE130970,GSE135251,GSE162694	-1.5235795985274851	0.030303543408830073
ENSG00000183230	CTNNA3	F4_vs_F2	between_strata	down	2	GSE135251,GSE162694	-1.0431545356039966	0.039760280081501564
ENSG00000183496	MEX3B	F3_vs_F0	baseline	up	3	GSE130970,GSE135251,GSE162694	1.5150881285288598	0.03925109968882996
ENSG00000183496	MEX3B	F3_vs_F1	between_strata	up	2	GSE130970,GSE135251	1.018028730634614	0.01108633243068429
ENSG00000183496	MEX3B	F4_vs_F0	baseline	up	3	GSE130970,GSE135251,GSE162694	2.321286910294858	7.123889438998413e-4
ENSG00000183496	MEX3B	F4_vs_F1	between_strata	up	3	GSE130970,GSE135251,GSE162694	1.8606181038832852	0.0102164500716391
ENSG00000183496	MEX3B	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.2171719101472482	0.0010771646988491864
ENSG00000183578	TNFAIP8L3	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.9299943147359926	4.3095815729272475e-4
ENSG00000183578	TNFAIP8L3	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.9901132614896111	6.572701243389749e-5
ENSG00000183629	GOLGA8G	F4_vs_F0	baseline	down	2	GSE130970,GSE162694	-2.1799344927680337	0.022332824577818922
ENSG00000183629	GOLGA8G	F4_vs_F1	between_strata	down	2	GSE130970,GSE162694	-2.1501536522105544	0.03649396191039452
ENSG00000183722	LHFPL6	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.6828283398678655	0.004215874750254526
ENSG00000183742	MACC1	F4_vs_F0	baseline	up	3	GSE130970,GSE135251,GSE162694	1.1688061211997076	0.027611207501472602
ENSG00000183742	MACC1	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.146184645795112	0.008880566380539962
ENSG00000183742	MACC1	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.157369359625013	0.010202129927956433
ENSG00000183779	ZNF703	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.8337616400588985	0.0074505985504262845
ENSG00000183779	ZNF703	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.8872923214644193	0.008124534363861386
ENSG00000183828	NUDT14	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.6659372862051998	0.04218716134097945
ENSG00000183833	CFAP91	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.9019922447863591	0.03998065864958174
ENSG00000183844	FAM3B	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.9060028348024818	1.1553567131169384e-6
ENSG00000183844	FAM3B	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.7243288059852855	3.22702599369288e-5
ENSG00000183844	FAM3B	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.5260671054305748	0.0011549788233575708
ENSG00000183853	KIRREL1	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.8906748427929285	2.7362702000889388e-5
ENSG00000183853	KIRREL1	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.9369466698193257	2.068401713678526e-6
ENSG00000183853	KIRREL1	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	0.7511929236459806	3.616419856558772e-4
ENSG00000183856	IQGAP3	F3_vs_F0	baseline	up	2	GSE130970,GSE135251	1.290816731360414	0.0041414201114437655
ENSG00000183856	IQGAP3	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	2.2123960644688636	1.9056434248435952e-7
ENSG00000183856	IQGAP3	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.8412612349828243	8.166221530042687e-5
ENSG00000183856	IQGAP3	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.4457272585303953	0.005047917231830204
ENSG00000183908	LRRC55	F4_vs_F0	baseline	down	2	GSE135251,GSE162694	-1.560426533576103	0.012251313051139112
ENSG00000183908	LRRC55	F4_vs_F2	between_strata	down	2	GSE135251,GSE162694	-1.3271812241897747	0.04784934969845755
ENSG00000183943	PRKX	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.809171397582959	1.2344265701448812e-4
ENSG00000183943	PRKX	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	0.651515029915208	0.0010675482021173526
ENSG00000184160	ADRA2C	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.3845730299946357	0.045998492884733705
ENSG00000184292	TACSTD2	F3_vs_F0	baseline	up	2	GSE130970,GSE135251	1.512408058321495	1.3210357976760985e-4
ENSG00000184292	TACSTD2	F3_vs_F1	between_strata	up	2	GSE130970,GSE135251	1.712077299336916	1.3386677032587831e-5
ENSG00000184292	TACSTD2	F4_vs_F0	baseline	up	3	GSE130970,GSE135251,GSE162694	2.308190490149244	0.03181664616180148
ENSG00000184292	TACSTD2	F4_vs_F1	between_strata	up	3	GSE130970,GSE135251,GSE162694	2.6370334766814825	0.03649396191039452
ENSG00000184292	TACSTD2	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	2.0871165328113945	2.7529479922303654e-6
ENSG00000184347	SLIT3	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.2302554951469584	0.029949077835803327
ENSG00000184347	SLIT3	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.118655616866095	0.024034379118332477
ENSG00000184384	MAML2	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	0.729266861246826	0.02659113331564871
ENSG00000184489	PTP4A3	F4_vs_F0	baseline	up	2	GSE135251,GSE162694	1.1085716198401157	0.0012516868232154508
ENSG00000184489	PTP4A3	F4_vs_F1	between_strata	up	2	GSE135251,GSE162694	1.3081617894719257	7.518174019758879e-4
ENSG00000184489	PTP4A3	F4_vs_F2	between_strata	up	2	GSE135251,GSE162694	1.2826781633130442	0.0053892687428314665
