Ensembl_ID	Gene_symbol	n_ds_tested	n_ds_lrt_sig	min_padj_lrt	lrt_reproduced	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000122971	ACADS	3	2	2.3251723857119073e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000107938	EDRF1	3	1	2.3256611637400265e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000105705	SUGP1	3	1	2.3284534241370387e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000162543	UBXN10	3	1	2.342156377235046e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000003989	SLC7A2	3	1	2.3726340039465863e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000163482	STK36	3	2	2.3726340039465863e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166333	ILK	3	1	2.3726340039465863e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000179133	C10orf67	3	1	2.3726340039465863e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000204138	PHACTR4	3	2	2.378286172183928e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000163032	VSNL1	3	1	2.387064505043393e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000132329	RAMP1	3	3	2.4103872057857068e-5	TRUE	1	down	2	F2_vs_F0	0	NA	NA	baseline_only
ENSG00000120889	TNFRSF10B	3	3	2.4140871978242503e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000248483	POU5F2	2	1	2.4149062460993082e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000166228	PCBD1	3	2	2.422625574773488e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000162735	PEX19	3	2	2.428488629701309e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000254999	BRK1	3	1	2.439723135609488e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000160862	AZGP1	3	2	2.4465653362269707e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000154856	APCDD1	3	2	2.4807012248714878e-5	TRUE	0	NA	NA	NA	2	up	F4_vs_F1,F4_vs_F2	strata_only
ENSG00000204178	MACO1	3	1	2.4811010825202697e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000112981	NME5	3	2	2.492285632480817e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000172404	DNAJB7	2	1	2.5041172059074707e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000143443	C1orf56	3	1	2.519451435596566e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000150764	DIXDC1	3	2	2.5287790134092693e-5	TRUE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000105887	MTPN	3	1	2.543117403619147e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000122694	GLIPR2	3	3	2.543117403619147e-5	TRUE	1	up	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000156671	SAMD8	3	1	2.5496696070473092e-5	FALSE	0	NA	NA	NA	0	NA	NA	not_significant
ENSG00000106536	POU6F2	3	1	2.5741795434297432e-5	FALSE	1	down	4	F4_vs_F0	0	NA	NA	baseline_only
ENSG00000146285	SCML4	3	2	2.5834232238335913e-5	TRUE	0	NA	NA	NA	1	up	F4_vs_F1	strata_only
ENSG00000130707	ASS1	3	2	2.592177424876311e-5	TRUE	1	down	2	F2_vs_F0	0	NA	NA	baseline_only
